[Tue Jan 25 17:40:35.474674 2022] [include:warn] [pid 81] [client 172.23.0.1:56496] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:40:54.832840 2022] [include:warn] [pid 84] [client 172.23.0.1:56498] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:40:57.233777 2022] [include:warn] [pid 84] [client 172.23.0.1:56498] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:40:57.396277 2022] [include:warn] [pid 84] [client 172.23.0.1:56498] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:40:57.612299 2022] [include:warn] [pid 84] [client 172.23.0.1:56498] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:42:49.638595 2022] [include:warn] [pid 78] [client 172.23.0.1:56502] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:43:07.210572 2022] [include:warn] [pid 79] [client 172.24.0.1:56506] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:43:07.795312 2022] [include:warn] [pid 79] [client 172.24.0.1:56506] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
[Tue Jan 25 17:43:24.919730 2022] [include:warn] [pid 84] [client 172.24.0.1:56508] AH01374: mod_include: Options +Includes (or IncludesNoExec) wasn't set, INCLUDES filter removed: /index.html
